article_num,issue-item__title,issue-item__title href,rlist--inline 2,Abstract,Author1,Author2,Author3,Author4,Author5,Author6
1,Leading by Doing: Does Leading by Example Impact Productivity and Service Quality?,https://journals.aom.org/doi/10.5465/amj.2018.0706,26 March 2020,"This paper presents a research model for the creation of organizational value through leading by example. I argue that leading by example serves as a unique value-creation driver by enhancing engagement, productivity, and service quality at the business level. Using a strategy-based resource management framework, I also argue that there are synergies between leading by example and the manifestation of organizational core values. My theory is grounded in the strategy-based notion that combining organizational resources—leading by example (practical element) and organizational core values (conceptual element)—optimizes employee engagement, which in turn enhances productivity and service quality. I examine my model empirically using two-time-point panel data derived from three different sources (employees, financial data, and secret shoppers) in a sample of 233 retail stores. The findings provide evidence that leading by example improves productivity and service quality (after taking into account the potential influence of charismatic leadership). The indirect effect of leading by example on productivity and service quality (through engagement) is even stronger where manifestation of organizational core values is high. Contributions to theory, research, and practice are presented. ",Liat Eldor,,,,,
2,"Marriage of Unequals? Investment Quality Heterogeneity, Market Heat, and the Formation of Status-Asymmetric Ties in the Venture Capital Industry",https://journals.aom.org/doi/10.5465/amj.2018.0969,24 March 2020,"In this study, we investigate the emergence of status-asymmetric ties among venture capital firms. In particular, we highlight the venture’s performance trajectory as a powerful antecedent of upward-status asymmetries (in which a lower-status actor brings a higher-status alter into a venture) as well as downward-status asymmetries (in which a higher-status actor brings in a lower-status alter). We hypothesize that lower-status firms tend to bring higher-status alters into ventures on a better performance trajectory, whereas higher-status firms tend to bring lower-status alters into poorly performing ventures. Furthermore, we argue that these effects will be moderated by market heat, which affects whether investors would focus on the upside or downside of deals. We test our hypotheses in a longitudinal analysis of venture capital syndication patterns in the US between 1990 and 2017. We find support for most of our predictions and document that the ability of lower-status lead investors to bring higher-status followers into good ventures is particularly accentuated in hot markets, which can heighten market participants’ concerns about missing good deals. We thus highlight the interplay between the internal and the external context in shaping the formation of status-asymmetric relationships.",Pavel I. Zhelyazkov,Adam Tatarynowicz,,,,
3,Strength and Weakness in Numbers? Unpacking the Role of Prevalence in the Diffusion of Reverse Mergers,https://journals.aom.org/doi/10.5465/amj.2018.0716,20 March 2020,"A common prediction in research on practice diffusion is a “strength in numbers” effect (i.e., that a growing number of past adopters will increase the number of future adopters). We advance and test a theoretical perspective to explain when and how practice prevalence may also generate a “weakness in numbers” effect. Specifically, in seeking to explain the diffusion of reverse mergers (RMs)—a controversial practice that allows a private firm to go public by merging with a publicly listed “shell company”—we suggest that prevalence affected their diffusion in a complex way, based on two divergent social influence pathways: (1) a direct and positive effect of practice prevalence on potential adopters, who view prevalence as evidence of the practice’s value, and (2) an indirect and negative effect, mediated through third-party evaluators (e.g., regulators, the media) who view prevalence as a cause for concern and skepticism. We also highlight the utility of this theoretical framework by analyzing how a decline in the status of past adopters exerts a negative effect on diffusion through both social influence pathways. Employing structural equation modeling techniques, we find support for the hypothesized relationships and we discuss the implications of the study for future research on practice diffusion.",Ivana Naumovska,Edward Zajac,Peggy Lee,,,
4,Deploying Human Capital Resources: Accentuating effects of situational alignment and social capital resources,https://journals.aom.org/doi/10.5465/amj.2019.0500,18 March 2020,"Researchers and organizational leaders alike have long known that securing human capital (HC) is critical for organizational success. The bulk of research in this domain has addressed issues regarding the accrual of HC stocks. However, there has been a dearth of research that explores the underlying mechanisms through which accrued HC stocks translate to competitive advantage. We expand on Wolfson & Mathieu’s (2018) Human Capital Resource Complementarity (HCRC) theory by incorporating the deployment of HCRs as well as the role of Social Capital Resources (SCRs) in the form of members’ shared team task-specific experience in predicting performance. We empirically test HCRC theory-derived hypotheses using a sample of 448 cyclists from 17 World Teams who competed in 26 races during the 2015 season of the Union Cycliste Internationale World Tour. Our results revealed that higher-level HCR stocks indirectly led to deployed HCR performance through deployed HCR alignment with situational characteristics. Furthermore, SCRs acted as a critical boundary condition for the value of aligning deployed HCRs with situational characteristics such that the alignment of deployed HCRs was only advantageous when paired with relatively high levels of SCRs. Implications for future theory building, research, and practice related to HCR deployment are discussed.",Mikhail A Wolfson,John E Mathieu,,,,
5,Antecedents  and Consequences of Employment and Asset Restructuring,https://journals.aom.org/doi/10.5465/amj.2018.1013,16 March 2020,"We examine two forms of employment and asset restructuring, downsizing and upsizing. Guided by institutional theory, we focus on two important questions. One, are the antecedents of restructuring common across downsizing and upsizing? Two, are the performance consequences of such restructuring related to prior firm performance? To answer these questions, we use primary data from companies listed on the New York Stock Exchange over a 37-year period (1980–2016). Our results suggest that six key antecedents play a prominent role in both downsizing and upsizing, although they differ in magnitude and direction in how they affect each form of restructuring. But, in both instances, they reflect efficiency considerations (company performance and managerial foresight) as well as institutional forces (the economy, political uncertainty, industry, and technology), just as neo-institutional theory suggests. Two, prior performance plays a central role in restructuring decisions, in both the upsizing and downsizing of assets and employees. The evidence suggests it is not just current-year performance but also the trend in company performance over the prior two years that forecasts subsequent firm performance, thereby extending and refining institutional theory.",Wayne Francis Cascio,Arjun Chatrath,Rohan A. Christie-David,,,
6,Salient Expectations? Incongruence across Capability and Integrity Signals and Investor Reactions to Organizational Misconduct,https://journals.aom.org/doi/10.5465/amj.2018.0698,5 March 2020,"Research in signaling theory has recently begun to explore the consequences of incongruity across signals from a single source. However, attention has been directed towards the incongruity across signals along a single dimension, even though audiences evaluate firms based on signals along different dimensions. Here, we extend this theory to investigate the incongruity across signals along different dimensions. Specifically, we theorize that the salience of positive capability signals when organizational misconduct is revealed (a negative integrity signal) causes interdimensional incongruence. We argue that audiences face greater incongruity and react more negatively to misconduct by firms whose positive capability signals were more salient. Using irregular financial restatements as the negative integrity signals and alliance announcements as the positive capability signals, we find that investors react more negatively to restatements by firms whose alliance announcements were more salient. That is, firms that announced more frequently and firms that created more positive expectations from those announcements were penalized more. We also found that firm size and diversification weaken these negative effects. We contribute to research on signaling theory, organizational misconduct, and alliances.",Srikanth Paruchuri,Jung-Hoon Han,Puneet Prakash,,,
7,How Voice Emerges and Develops in Newly Formed Supervisor-Employee Dyads,https://journals.aom.org/doi/10.5465/amj.2018.0961,5 March 2020,"We develop and test theory regarding how voice emerges and develops in newly formed supervisor-employee dyads. We propose the following: Employees with higher proactive personality speak up more in the early stages of interactions in their dyads. The subsequent path that their voice takes—that is, whether it increases in a virtuous positive trajectory or decreases in a viscous negative trajectory—is determined by whether their proactive personality is a match to their supervisors’ proactive personality. For instance, when they are paired with supervisors who are not similarly proactive, they confront low congruence on change-related goals in the working relationship; hence, rather than building off their initial voice and developing a positive voice trajectory, they might become frustrated and their voice might decay in negative trajectory. We found support for this theory in a sample of 403 newly-formed dyads. Employees with higher proactive personality were more likely to speak up to their supervisors immediately after they start working together. Congruence between the supervisors and the employees in their proactive personality predicted how voice changed in the dyads in the ensuing 6 months. Dyadic (in) congruence in proactive personality not only drove the linear (negative) positive trend in voice, but also enabled the pace of voice growth to pick up momentum and non-linearly (decelerate) accelerate over time. We discuss the implications of these findings for theory and practice.",Alex Ning Li,Subrahmaniam Tangirala,,,,
8,How Technological Overlap between Spinouts and Parent Firms Affects Corporate Venture Capital Investments in Spinouts: The Role of Competitive Tension,https://journals.aom.org/doi/10.5465/amj.2018.0223,28 February 2020,"Drawing on the literature on entrepreneurship and competitive dynamics, we investigate how technological overlap between spinouts and parent firms influences corporate investors’ decisions regarding investments in spinouts. We suggest that a high level of technological overlap between a spinout and its parent firm deters potential corporate investors from making an investment in the spinout because of competitive tension arising from anticipated hostile actions by the parent firm. We further suggest that these negative effects are contingent on the tradeoffs between competitive risks and benefits. Our findings show that the negative effects are amplified when parent firms have a strong litigiousness in claiming their intellectual property rights. However, we find that the negative effects are mitigated when corporate investors can expect benefits from gaining indirect access to parent firms’ technological knowledge. Using a sample of corporate venture capital investments in the U.S. medical device industry, we find evidence that supports our hypotheses.",Joonhyung Bae,Joon Mahn Lee,,,,
9,"Under Trusted, Over Trusted, or Just Right? The Fairness of (In)congruence between Trust Wanted and Trust Received",https://journals.aom.org/doi/10.5465/amj.2018.0334,13 February 2020,"The nascent literature on feeling trusted has focused on the notion that it is a benefit to employees and their organizations, with several studies demonstrating a link to improved job performance. It is not surprising, therefore, that the prevailing assumption is employees will react positively when their supervisors trust them more as opposed to less. Recent research, however, suggests the benefits of feeling trusted are accompanied by strains, which some employees may be unwilling to bear. Drawing on seminal theorizing on fairness, we propose that employees will perceive their supervisors as being more mindful of their needs—acting more fairly—when there is a fit between trust wanted and trust received, even when the fit is at low levels of trust. By extension, when trust received exceeds or falls short of an employee’s desire for trust, the employee should perceive the supervisor as less fair. We build a model in which the overall fairness perceptions resulting from the trust wanted–received interplay influence employee performance. Our model is supported by a multi-source, three-wave field study and an experiment.",Michael Baer,Emma L. Frank,Fadel K Matta,Margaret M. Luciano,,
10,CEO Temporal Focus and Behavioral Agency Theory: Evidence from Mergers and Acquisitions,https://journals.aom.org/doi/10.5465/amj.2018.1470,11 February 2020,"The behavioral agency model (BAM) posits that executives endow current wealth, but do not endow prospective wealth. As a result of this endowment effect, executives are risk-averse with current wealth and risk-seeking with prospective wealth. These relationships, however, assume all executives perceive and attend to current and future outcomes similarly, which is at odds with psychology research on temporal perceptions. Drawing on the concept of temporal focus, we theorize that present-focused CEOs adhere to the BAM’s endowment effect, while exhibiting even stronger relationships between current and prospective wealth and risk taking. In contrast, by nature of being forward-looking, future-focused CEOs endow prospective wealth instead of current wealth, thereby reversing the main relationships of the BAM. Using a sample of 7,700 CEO-year observations from 2003 to 2016, we find empirical support for our arguments in the context of merger and acquisition (M&A) investment. Findings from this study advance the BAM model by showing the relationships between wealth types and risk-taking hinge on CEOs’ temporal focus. ",Mark R DesJardine,Wei Shi,,,,
