Article ID,Noun Phrase,Count
1,quality,1
1,"example,impact",1
1,does,1
1,doing,1
2,formation,1
2,"status-asymmetric,ties",1
2,"quality,heterogeneity",1
2,"market,heat",1
2,"venture,capital",1
2,unequals,1
3,strength,1
3,numbers,1
3,prevalence,1
3,role,1
3,unpacking,1
3,"reverse,mergers",1
3,diffusion,1
3,weakness,1
4,"social,capital,resources",1
4,"situational,alignment",1
4,deploying,1
4,accentuating,1
4,"capital,resources",1
5,antecedents,1
5,employment,1
5,"asset,restructuring",1
5,consequences,1
6,capability,1
6,"investor,reactions",1
6,"salient,expectations",1
6,incongruence,1
6,"organizational,misconduct",1
6,"integrity,signals",1
7,develops,1
7,"voice,emerges",1
7,"newly,formed,supervisor-employee,dyads",1
8,competitive,1
8,"parent,firms,affects",1
8,"venture,capital,investments",1
8,spinouts,2
8,role,1
8,"technological,overlap",1
9,wanted,1
9,trusted,2
9,fairness,1
9,received,1
9,right,1
10,mergers,1
10,behavioral,1
10,acquisitions,1
10,evidence,1
10,theory,1
10,"ceo,temporal,focus",1
11,monitoring,1
11,chair,1
11,"board–ceo,cognitive",1
11,monitor,1
11,"outside,director",1
11,shape,1
11,"too,unsafe",1
12,"distinguishing,voice",1
12,"psychological,safety",1
12,burnout,1
12,"perceived,impact",1
12,silence,1
12,"unique,relationships",1
13,effects,1
13,hustle,1
13,empowerment,1
13,full-time,1
13,side-hustles,1
13,performance,1
14,uncertainty,1
14,"resource,dependence",1
14,allocation,1
14,activity,1
14,"multiple,jurisdictions",1
15,investments,1
15,dependence,1
15,unpacking,1
15,"contract,dependence,affects",1
15,"market,performance",1
16,"status,hierarchies",1
16,"behavioral,consequences",1
16,towers,1
16,"positional,inconsistency",1
17,"performance,subjectivity",1
17,"contextual,influence",1
17,behavior,1
17,"does,pay",1
17,"performance,motivate,employee",1
18,absurdity,1
18,maintaining,1
18,protection,1
18,opacity,1
18,equivocality,1
18,struggles,1
18,"sicilian,mafia",1
18,ambiguity,1
19,legitimacy,1
19,"crowdfunding,platforms",1
19,different,1
19,"optimal,distinctiveness",1
20,firms,1
20,"structural,approach",1
20,performance,1
20,"kin,ties",1
21,authenticity,1
22,"authentic,self",1
22,catering,1
22,"others,’,preferences,hinders,performance",1
23,"creative,process,engagement",1
23,"leader,humility",1
23,does,1
24,wherever,1
24,"everyday,situations",1
25,"external,validity—a,tale",1
25,motivating,1
25,"social,recognition",1
26,up,1
26,"grow,up",1
26,"behavioral,insights",1
26,"preschool,programs",1
27,free-riding,1
28,mind,1
28,"workday,respite,activities",1
28,"interactive,effect",1
28,"affective,linkages",1
28,"employee,outcomes",1
29,"field,investigation",1
29,"eye,cues",1
29,"fare,evasion",1
29,"social,norms",1
29,crafting,1
30,"relational,strength",1
31,"social,distance",1
32,nudging,1
32,mock,1
32,"meat,substitutes",1
33,"regulatory,enforcement",1
33,horseshoes,1
33,"potential,sanctions",1
33,"hand,grenades",1
33,"fraud,deterrence",1
33,close,1
34,"mindfulness,increases,prosocial,behavior",1
34,present,1
35,"mission,statements",1
35,"regulatory,mode,influences,workplace,discrimination",1
36,"systems,work",1
36,"auto,insurance,industry,fraud,investigations",1
36,evidence,1
38,"status,attainment",1
38,investigating,1
38,"status,incentives",1
39,"authentic,leader,humility,shapes,follower,vulnerability",1
39,humility,1
39,"breeds,authenticity",1
40,"decision,makers",1
40,simplification,1
